n_agents,success_rate,total_step,avg_step,max_step,episode_length,communication_times,collision_rate,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,100.0,63.525,15.88125,18.01,18.555,3.64,0.5747607556112698,15.562113449014564,3.890528362253641,4.069385703026932,4.018329876951369,22,5.5,7.0,8,130,32.5,34.0,34
8,100.0,162.85,20.35625,22.945,23.205,22.77,1.387344598425861,39.51996330969957,4.939995413712446,5.077595395460335,5.158776502233838,89,11.125,14.0,14,327,40.875,45.0,46
12,100.0,311.79,25.98249999999999,28.95,29.125,62.47,1.8804738637129472,70.80484376086144,5.900403646738454,6.124336698778081,6.144052001733058,164,13.666666666666666,16.0,17,485,40.416666666666664,44.0,44
16,100.0,497.815,31.1134375,34.45,34.515,130.845,2.3167932713290593,126.25854733442802,7.891159208401751,8.192527082652825,8.20425346999957,269,16.8125,19.0,19,903,56.4375,61.0,61
20,100.0,747.025,37.351249999999986,40.915,40.985,235.615,2.6092074811509582,229.967311535792,11.498365576789597,12.114775070136465,12.12414017569906,378,18.9,21.0,21,2130,106.5,115.0,115
22,98.5,957.315,43.5143181818182,47.305,47.365,315.675,2.8304149691835345,608.8804527778832,27.676384217176505,28.073866406321738,28.07439714401718,487,22.136363636363637,26.0,26,5546,252.0909090909091,256.0,256
