n_agents,success_rate,collision_rate,extra_time,avg_step,total_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,86.0,0.9658640318731506,322.75,438.06625,1752.265,455.245,494.895,858.3728763043482,214.59321907608705,221.33089475940767,242.19313362479954,2,0.5,1.0,1,4401,1100.25,1117.0,1240
8,72.5,0.7102807004700751,223.625,560.90125,3119.7375,596.43,565.4175,2159.5850350457954,275.30803702114747,291.9198950054621,288.00693254460043,2,156.0,167.0,1,9917,1239.625,1330.0,1400
16,51.5,0.8589288697735787,153.75,747.3984375,6065.95,802.05,659.7266666666667,5337.654180208755,306.58803298598406,327.71774059394465,336.8719172359462,2,0.9375,1.0,1,23176,1448.5,1590.0,1660
32,28.499999999999996,1.4453734267706404,206.8125,937.0884375,12046.17,1002.89,760.36625,12051.539148843189,254.51077457756915,269.6851458645804,369.0944386074349,2,0.90625,1.0,1,45257,1414.28125,1491.0,1660
