n_agents,success_rate,total_step,avg_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,100.0,143.79,35.9475,51.245,52.245,32.358706710868404,8.089676677717101,12.054251324740163,12.054251324740163,63,15.75,22,23,228,57.0,80,81
8,100.0,285.11,35.63875,57.4,58.405,44.285752788001695,5.535719098500212,11.364418154925486,11.360940762102405,177,22.125,32,33,418,52.25,92,93
16,84.0,574.827380952381,35.92671130952381,64.03571428571429,65.04166666666667,61.77387691679279,3.860867307299549,9.592217118669733,9.583812099842074,418,26.125,42,43,750,46.875,89,90
32,4.5,1122.3333333333333,35.072916666666664,69.44444444444444,70.44444444444444,77.48548251124207,2.4214213284763146,10.361371757222015,10.361371757222015,980,30.625,57,58,1236,38.625,87,88
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0
