n_agents,success_rate,total_step,avg_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,100.0,52.595,13.14875,17.195,18.29,10.55656075623117,2.6391401890577924,3.196400319108982,3.1962321567745984,23,5.75,8,9,77,19.25,24,25
8,98.0,106.5561224489796,13.31951530612245,18.943877551020407,20.178571428571427,15.096354245155032,1.887044280644379,2.441543770856105,2.395520905390572,59,7.375,12,14,143,17.875,24,26
12,62.0,158.29032258064515,13.190860215053762,20.056451612903224,21.225806451612904,16.808587567817053,1.400715630651421,2.0841274934487606,2.082332399162905,110,9.166666666666666,16,17,198,16.5,26,27
