n_agents,success_rate,total_step,avg_step,max_step,episode_length,communication_times,collision_rate,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,55.00000000000001,541.055,135.26375,143.51,143.58,0.875,12.534281786456452,406.9522232093099,101.73805580232748,102.10024436797397,102.0513772567524,76,19.0,23.0,23,1024,256.0,256.0,256
8,28.999999999999996,1519.94,189.9925,198.24,198.24,6.12,14.272645584772931,725.9416962814576,90.7427120351822,90.5321622408302,90.5321622408302,227,28.375,35.0,35,2048,256.0,256.0,256
16,5.5,3807.99,237.999375,245.545,245.545,31.74,13.941080399077975,701.647561030465,43.85297256440406,43.365977159519886,43.365977159519886,763,47.6875,57.0,57,4086,255.375,256.0,256
32,1.0,7891.885,246.62140625,254.25,254.25,173.73,14.228460010655523,568.765691453871,17.77392785793347,17.419457511644843,17.419457511644843,2177,68.03125,76.0,76,8102,253.1875,256.0,256
64,0.0,15848.39,247.63109375,256.0,256.0,959.695,14.216166099221791,139.41121870208295,2.178300292220046,0.0,0.0,15182,237.21875,256.0,256,16105,251.640625,256.0,256
