num_agents,success,total_step,avg_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,100.0,48.81,12.2025,17.33,18.48,10.770510665701975,2.692627666425494,3.23745270235721,3.281706872954987,19,4.75,8,9,77,19.25,25,27
8,100.0,99.89,12.48625,19.265,20.65,15.529259480091122,1.9411574350113903,2.5912882896350995,2.641495788374458,53,6.625,12,14,141,17.625,26,27
12,100.0,157.425,13.11875,21.265,22.895,20.307003102378253,1.6922502585315211,2.3269669099495163,2.5659257588636506,102,8.5,16,17,210,17.5,30,31
16,100.0,212.3,13.26875,22.305,24.33,23.998749967446223,1.499921872965389,2.437616663874777,2.6136373122527923,148,9.25,16,17,269,16.8125,29,31
20,100.0,271.88,13.594000000000001,23.345,25.81,27.903684344544896,1.395184217227245,2.4054053712420282,2.7845825539926086,196,9.8,16,19,346,17.3,31,35
22,100.0,297.4,13.51818181818182,23.795,26.36,27.436472076416823,1.2471123671098554,2.411011198646742,2.6907991378027454,224,10.181818181818182,18,20,390,17.727272727272727,32,37
