n_agents,success_rate,collision_rate,extra_time,avg_step,total_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,80.5,1.3390444529008474,106.25,171.30125,685.205,180.575,193.99,297.81983307865846,74.45495826966462,78.25410133021784,84.28546671876475,3,0.75,1.0,1,1528,382.0,403.0,427
8,61.5,1.4724531407955828,94.0,228.635,1257.1425,245.57,226.78,764.3418424983353,81.53941182796207,86.95685769391623,94.44258361565507,3,63.25,69.0,1,3101,387.625,414.0,440
12,41.0,1.5835834366630122,83.57142857142857,286.2625,1983.145,308.47,259.605,1314.4395994649835,76.93520440658706,81.9952992555061,103.18024185052744,3,32.666666666666664,35.0,1,4859,404.9166666666667,432.0,460
16,26.5,1.667857372286504,83.875,313.3096875,2740.5975,338.715,283.685,1795.1475811179841,56.67042510810725,60.822724166219324,103.72679632091217,3,143.5625,153.0,1,7370,460.625,486.0,520
20,25.0,1.8236170647625654,76.03999999999999,322.50675,3482.505,348.93,300.234,2253.545025504261,61.1058873345073,65.36080706356066,103.28147580277889,3,44.55,49.0,1,8462,423.1,457.0,520
22,17.0,1.9426900438450503,80.48358585858585,330.26590909090913,4113.0625,357.465,312.7416666666667,2532.267994689165,48.82669740144454,51.99527646815621,100.8961674060131,3,159.45454545454547,173.0,1,8961,407.3181818181818,438.0,520
