n_agents,success_rate,total_step,avg_step,max_step,episode_length,total_step_std,avg_step_std,max_step_std,episode_length_std,total_step_min,avg_step_min,max_step_min,episode_length_min,total_step_max,avg_step_max,max_step_max,episode_length_max
4,100.0,140.065,35.01625,51.3,52.32,32.46383795856553,8.115959489641382,12.060679914499017,12.067626112869092,59,14.75,22,23,224,56.0,82,83
8,100.0,278.115,34.764375,57.5,58.54,44.34469274896377,5.543086593620472,11.386834503056589,11.375341753107904,169,21.125,32,33,410,51.25,92,93
16,100.0,571.365,35.7103125,64.99,66.11,66.04537663606742,4.1278360397542135,9.806625311492226,9.788661808439395,404,25.25,42,43,766,47.875,94,95
32,100.0,1143.905,35.74703125,69.455,70.73,93.71614575408017,2.9286295548150054,8.396902702782736,8.328091017754309,927,28.96875,47,49,1343,41.96875,90,91
64,100.0,2375.04,37.11,76.325,77.745,127.88599766979965,1.9982187135906195,6.440448353957976,6.3505885554017745,2004,31.3125,58,60,2731,42.671875,95,96
128,99.0,4921.434343434344,38.44870580808081,82.4949494949495,84.75252525252525,202.48262983817915,1.5818955456107746,6.681610126783673,6.637387879695139,4404,34.40625,70,72,5441,42.5078125,114,116
256,1.0,10898.5,42.572265625,88.0,92.5,535.5,2.091796875,3.0,4.5,10363,40.48046875,85,88,11434,44.6640625,91,97
