n_agents,success_rate,average_time,episode_length,crash_rate
4,56.0,2.2280974531173707,45.17857142857143,0.0
8,18.0,6.705871145725251,62.44444444444444,0.0
12,7.0,14.406617295742034,121.42857142857143,0.0
16,2.0,17.23851533651352,162.0,0.0
20,0.0,23.29041270494461,nan,0.0
22,0.0,44.02704273700714,nan,0.0
